CODE;CATEGORY;CLASS
0;Dummy;DUMMY_KLASSE
1;Beitrag;BEITRAG.TITEL
2;Beitrag;BEITRAG.ALBUM
3;Beitrag;BEITRAG.TRACKNUMMER
4;Beitrag;BEITRAG.KÜNSTLER
5;Beitrag;BEITRAG.KOMPOSITION
6;Beitrag;BEITRAG.SATZ
7;Beitrag;BEITRAG.DIRIGENT
8;Beitrag;BEITRAG.KOMPONIST
9;Beitrag;BEITRAG.BAND
10;Beitrag;BEITRAG.KOMMENTAR
11;Beitrag;BEITRAG.GENRE
12;Info;INFO.NACHRICHTEN
13;Info;INFO.NACHRICHTEN.LOKALES
14;Info;INFO.AKTIENMARKT
15;Info;INFO.SPORT
16;Info;INFO.LOTTERIE
17;Info;INFO.HOROSKOP
18;Info;INFO.TÄGLICHE_UNTERHALTUNG
19;Info;INFO.GESUNDHEIT
20;Info;INFO.EREIGNIS
21;Info;INFO.SZENE
22;Info;INFO.KINO
23;Info;INFO.TV
24;Info;INFO.DATUM_ZEIT
25;Info;INFO.WETTER
26;Info;INFO.VERKEHR
27;Info;INFO.ALARM
28;Info;INFO.WERBUNG
29;Info;INFO.URL
30;Info;INFO.SONSTIGES
31;Programm;STATIONSNAME.KURZ
32;Programm;STATIONSNAME.LANG
33;Programm;PROGRAMM.JETZT
34;Programm;PROGRAMM.ALS_NÄCHSTES
35;Programm;PROGRAMM.TEIL
36;Programm;PROGRAMM.MODERATOR
37;Programm;PROGRAMM.REDAKTION
38;Programm;PROGRAMM.FREQUENZ
39;Programm;PROGRAMM.HOMEPAGE
40;Programm;PROGRAMM.UNTERKANAL
41;Interaktivität;TELEFON.HOTLINE
42;Interaktivität;TELEFON.STUDIO
43;Interaktivität;TELEFON.SONSTIGE
44;Interaktivität;SMS.STUDIO
45;Interaktivität;SMS.SONSTIGE
46;Interaktivität;EMAIL.HOTLINE
47;Interaktivität;EMAIL.STUDIO
48;Interaktivität;EMAIL.SONSTIGE
49;Interaktivität;MMS.SONSTIGE
50;Interaktivität;CHAT
51;Interaktivität;CHAT.ZENTRALE
52;Interaktivität;ABSTIMMUNG.FRAGE
53;Interaktivität;ABSTIMMUNG.ZENTRALE
54;<rfu>;
55;<rfu>;
56;Private Klassen;
57;Private Klassen;
58;Private Klassen;
59;Deskriptor;ORT
60;Deskriptor;TERMIN
61;Deskriptor;BEZEICHNER
62;Deskriptor;KAUF
63;Deskriptor;GET_DATA
